"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Soil_type","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","DOI","Horizon_mid_depth_cm","Horizon_bin_cm","OC_from_SOM_our_eq","OC_obs_est","OC_perc_final","Notes","Lat_Long"
"CCRCN","CRMS Database CRMS6299_1",NA,NA,"marsh",30.05059,-90.35142,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.2,"CRMS6299_1",31.05,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.05,0.2,NA,2,"0-15cm",13.3977344834446,"Estimated (our equation)",13.3977344834446,NA,"30.05059_-90.35142"
"CCRCN","CRMS Database CRMS6299_2",NA,NA,"marsh",30.05059,-90.35142,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.1,"CRMS6299_2",35.56,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.56,0.1,NA,2,"0-15cm",15.4532504717564,"Estimated (our equation)",15.4532504717564,NA,"30.05059_-90.35142"
"CCRCN","CRMS Database CRMS6299_3",NA,NA,"marsh",30.05059,-90.35142,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.22,"CRMS6299_3",23.3,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,0.22,NA,2,"0-15cm",9.93040238222271,"Estimated (our equation)",9.93040238222271,NA,"30.05059_-90.35142"
"CCRCN","CRMS Database CRMS0033_1",NA,NA,"marsh",30.27445,-90.38549,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.07,"CRMS0033_1",69.26,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.26,0.07,NA,2,"0-15cm",31.6918429670475,"Estimated (our equation)",31.6918429670475,NA,"30.27445_-90.38549"
"CCRCN","CRMS Database CRMS0033_2",NA,NA,"marsh",30.27445,-90.38549,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.08,"CRMS0033_2",66.61,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.61,0.08,NA,2,"0-15cm",30.3587405723842,"Estimated (our equation)",30.3587405723842,NA,"30.27445_-90.38549"
"CCRCN","CRMS Database CRMS0033_3",NA,NA,"marsh",30.27445,-90.38549,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.14,"CRMS0033_3",50.35,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.35,0.14,NA,2,"0-15cm",22.3889628332992,"Estimated (our equation)",22.3889628332992,NA,"30.27445_-90.38549"
"CCRCN","CRMS Database CRMS0461_1",NA,NA,"marsh",29.58492,-91.32302,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.49,"CRMS0461_1",12.43,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.43,0.49,NA,2,"0-15cm",5.20538273440544,"Estimated (our equation)",5.20538273440544,NA,"29.58492_-91.32302"
"CCRCN","CRMS Database CRMS0461_2",NA,NA,"marsh",29.58492,-91.32302,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.61,"CRMS0461_2",10.55,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.55,0.61,NA,2,"0-15cm",4.40454214082566,"Estimated (our equation)",4.40454214082566,NA,"29.58492_-91.32302"
"CCRCN","CRMS Database CRMS0461_3",NA,NA,"marsh",29.58492,-91.32302,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.56,"CRMS0461_3",12.9,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,0.56,NA,2,"0-15cm",5.40634700777353,"Estimated (our equation)",5.40634700777353,NA,"29.58492_-91.32302"
"CCRCN","CRMS Database CRMS0463_1",NA,NA,"marsh",29.49057,-91.32302,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.31,"CRMS0463_1",13.92,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.92,0.31,NA,2,"0-15cm",5.84351992076354,"Estimated (our equation)",5.84351992076354,NA,"29.49057_-91.32302"
"CCRCN","CRMS Database CRMS0463_2",NA,NA,"marsh",29.49057,-91.32302,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.24,"CRMS0463_2",17.46,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.46,0.24,NA,2,"0-15cm",7.37178871632601,"Estimated (our equation)",7.37178871632601,NA,"29.49057_-91.32302"
"CCRCN","CRMS Database CRMS0463_3",NA,NA,"marsh",29.49057,-91.32302,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.24,"CRMS0463_3",15.89,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89,0.24,NA,2,"0-15cm",6.69188543359329,"Estimated (our equation)",6.69188543359329,NA,"29.49057_-91.32302"
"CCRCN","CRMS Database CRMS0464_1",NA,NA,"marsh",29.5196,-91.38552,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.16,"CRMS0464_1",23.49,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.49,0.16,NA,2,"0-15cm",10.0144272054226,"Estimated (our equation)",10.0144272054226,NA,"29.5196_-91.38552"
"CCRCN","CRMS Database CRMS0464_2",NA,NA,"marsh",29.5196,-91.38552,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.23,"CRMS0464_2",20.12,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.12,0.23,NA,2,"0-15cm",8.53140920982855,"Estimated (our equation)",8.53140920982855,NA,"29.5196_-91.38552"
"CCRCN","CRMS Database CRMS0464_3",NA,NA,"marsh",29.5196,-91.38552,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.27,"CRMS0464_3",14.23,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.23,0.27,NA,2,"0-15cm",5.97666770636803,"Estimated (our equation)",5.97666770636803,NA,"29.5196_-91.38552"
"CCRCN","CRMS Database CRMS0465_1",NA,NA,"marsh",29.54137,-91.38552,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.59,"CRMS0465_1",7.14,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,0.59,NA,2,"0-15cm",2.96427012707737,"Estimated (our equation)",2.96427012707737,NA,"29.54137_-91.38552"
"CCRCN","CRMS Database CRMS0465_2",NA,NA,"marsh",29.54137,-91.38552,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.92,"CRMS0465_2",5.52,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,0.92,NA,2,"0-15cm",2.28559898901611,"Estimated (our equation)",2.28559898901611,NA,"29.54137_-91.38552"
"CCRCN","CRMS Database CRMS0465_3",NA,NA,"marsh",29.54137,-91.38552,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,1.01,"CRMS0465_3",6.18,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18,1.01,NA,2,"0-15cm",2.56166203162412,"Estimated (our equation)",2.56166203162412,NA,"29.54137_-91.38552"
"CCRCN","CRMS Database CRMS0479_1",NA,NA,"marsh",29.52686,-91.44803,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.5,"CRMS0479_1",7.91,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91,0.5,NA,2,"0-15cm",3.28810489486568,"Estimated (our equation)",3.28810489486568,NA,"29.52686_-91.44803"
"CCRCN","CRMS Database CRMS0479_2",NA,NA,"marsh",29.52686,-91.44803,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.45,"CRMS0479_2",10.61,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.61,0.45,NA,2,"0-15cm",4.43002632414537,"Estimated (our equation)",4.43002632414537,NA,"29.52686_-91.44803"
"CCRCN","CRMS Database CRMS0479_3",NA,NA,"marsh",29.52686,-91.44803,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.66,"CRMS0479_3",7.66,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66,0.66,NA,2,"0-15cm",3.18287497574454,"Estimated (our equation)",3.18287497574454,NA,"29.52686_-91.44803"
"CCRCN","CRMS Database CRMS0482_1",NA,NA,"marsh",29.58492,-91.35427,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.09,"CRMS0482_1",45.32,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.32,0.09,NA,2,"0-15cm",19.9966447699964,"Estimated (our equation)",19.9966447699964,NA,"29.58492_-91.35427"
"CCRCN","CRMS Database CRMS0482_2",NA,NA,"marsh",29.58492,-91.35427,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.05,"CRMS0482_2",51.37,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.37,0.05,NA,2,"0-15cm",22.8782983897457,"Estimated (our equation)",22.8782983897457,NA,"29.58492_-91.35427"
"CCRCN","CRMS Database CRMS0482_3",NA,NA,"marsh",29.58492,-91.35427,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.13,"CRMS0482_3",38.13,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.13,0.13,NA,2,"0-15cm",16.6369990476893,"Estimated (our equation)",16.6369990476893,NA,"29.58492_-91.35427"
"CCRCN","CRMS Database CRMS0488_1",NA,NA,"marsh",29.70831,-91.54178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.06,"CRMS0488_1",65.25,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.25,0.06,NA,2,"0-15cm",29.6783059439618,"Estimated (our equation)",29.6783059439618,NA,"29.70831_-91.54178"
"CCRCN","CRMS Database CRMS0488_2",NA,NA,"marsh",29.70831,-91.54178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.07,"CRMS0488_2",58.73,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.73,0.07,NA,2,"0-15cm",26.4513016243444,"Estimated (our equation)",26.4513016243444,NA,"29.70831_-91.54178"
"CCRCN","CRMS Database CRMS0488_3",NA,NA,"marsh",29.70831,-91.54178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.04,"CRMS0488_3",73.24,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.24,0.04,NA,2,"0-15cm",33.7120285032715,"Estimated (our equation)",33.7120285032715,NA,"29.70831_-91.54178"
"CCRCN","CRMS Database CRMS0489_1",NA,NA,"marsh",29.59944,-91.54178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.45,"CRMS0489_1",16,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.45,NA,2,"0-15cm",6.73941231566324,"Estimated (our equation)",6.73941231566324,NA,"29.59944_-91.54178"
"CCRCN","CRMS Database CRMS0489_2",NA,NA,"marsh",29.59944,-91.54178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.2,"CRMS0489_2",26.13,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.13,0.2,NA,2,"0-15cm",11.1870311604729,"Estimated (our equation)",11.1870311604729,NA,"29.59944_-91.54178"
"CCRCN","CRMS Database CRMS0489_3",NA,NA,"marsh",29.59944,-91.54178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.28,"CRMS0489_3",20.85,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.85,0.28,NA,2,"0-15cm",8.85134058747114,"Estimated (our equation)",8.85134058747114,NA,"29.59944_-91.54178"
"CCRCN","CRMS Database CRMS0490_1",NA,NA,"marsh",29.67928,-91.51053,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.06,"CRMS0490_1",68.64,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.64,0.06,NA,2,"0-15cm",31.3790879718484,"Estimated (our equation)",31.3790879718484,NA,"29.67928_-91.51053"
"CCRCN","CRMS Database CRMS0490_2",NA,NA,"marsh",29.67928,-91.51053,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.09,"CRMS0490_2",59.79,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.79,0.09,NA,2,"0-15cm",26.9719856674239,"Estimated (our equation)",26.9719856674239,NA,"29.67928_-91.51053"
"CCRCN","CRMS Database CRMS0490_3",NA,NA,"marsh",29.67928,-91.51053,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.08,"CRMS0490_3",45.89,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.89,0.08,NA,2,"0-15cm",20.2660066926019,"Estimated (our equation)",20.2660066926019,NA,"29.67928_-91.51053"
"CCRCN","CRMS Database CRMS0493_1",NA,NA,"marsh",29.75186,-91.76053,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.21,"CRMS0493_1",38.82,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.82,0.21,NA,2,"0-15cm",16.9563506472679,"Estimated (our equation)",16.9563506472679,NA,"29.75186_-91.76053"
"CCRCN","CRMS Database CRMS0493_2",NA,NA,"marsh",29.75186,-91.76053,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.22,"CRMS0493_2",36.99,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.99,0.22,NA,2,"0-15cm",16.1107990709547,"Estimated (our equation)",16.1107990709547,NA,"29.75186_-91.76053"
"CCRCN","CRMS Database CRMS0493_3",NA,NA,"marsh",29.75186,-91.76053,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.22,"CRMS0493_3",34.19,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.19,0.22,NA,2,"0-15cm",14.8259104491229,"Estimated (our equation)",14.8259104491229,NA,"29.75186_-91.76053"
"CCRCN","CRMS Database CRMS0494_1",NA,NA,"marsh",29.7446,-91.79178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.31,"CRMS0494_1",15.14,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.14,0.31,NA,2,"0-15cm",6.36827890025566,"Estimated (our equation)",6.36827890025566,NA,"29.7446_-91.79178"
"CCRCN","CRMS Database CRMS0494_2",NA,NA,"marsh",29.7446,-91.79178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.37,"CRMS0494_2",13.11,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.11,0.37,NA,2,"0-15cm",5.49623705571677,"Estimated (our equation)",5.49623705571677,NA,"29.7446_-91.79178"
"CCRCN","CRMS Database CRMS0494_3",NA,NA,"marsh",29.7446,-91.79178,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.45,"CRMS0494_3",11.81,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.81,0.45,NA,2,"0-15cm",4.94074234631993,"Estimated (our equation)",4.94074234631993,NA,"29.7446_-91.79178"
"CCRCN","CRMS Database CRMS0496_1",NA,NA,"marsh",29.6319,-91.544,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.46,"CRMS0496_1",21.28,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.28,0.46,NA,2,"0-15cm",9.04013388493098,"Estimated (our equation)",9.04013388493098,NA,"29.6319_-91.544"
"CCRCN","CRMS Database CRMS0496_2",NA,NA,"marsh",29.6319,-91.544,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.31,"CRMS0496_2",44.87,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.87,0.31,NA,2,"0-15cm",19.78430401429,"Estimated (our equation)",19.78430401429,NA,"29.6319_-91.544"
"CCRCN","CRMS Database CRMS0496_3",NA,NA,"marsh",29.6319,-91.544,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.43,"CRMS0496_3",20.4,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,0.43,NA,2,"0-15cm",8.65403658530337,"Estimated (our equation)",8.65403658530337,NA,"29.6319_-91.544"
"CCRCN","CRMS Database CRMS0517_1",NA,NA,"marsh",29.64299,-91.57303,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.3,"CRMS0517_1",17.41,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.41,0.3,NA,2,"0-15cm",7.35008385463934,"Estimated (our equation)",7.35008385463934,NA,"29.64299_-91.57303"
"CCRCN","CRMS Database CRMS0517_2",NA,NA,"marsh",29.64299,-91.57303,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.4,"CRMS0517_2",10.44,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.44,0.4,NA,2,"0-15cm",4.35783390596511,"Estimated (our equation)",4.35783390596511,NA,"29.64299_-91.57303"
"CCRCN","CRMS Database CRMS0517_3",NA,NA,"marsh",29.64299,-91.57303,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.31,"CRMS0517_3",12.25,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.25,0.31,NA,2,"0-15cm",5.12849757821455,"Estimated (our equation)",5.12849757821455,NA,"29.64299_-91.57303"
"CCRCN","CRMS Database CRMS0527_1",NA,NA,"marsh",29.70831,-91.85428,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.74,"CRMS0527_1",6.81,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81,0.74,NA,2,"0-15cm",2.82573164534552,"Estimated (our equation)",2.82573164534552,NA,"29.70831_-91.85428"
"CCRCN","CRMS Database CRMS0527_2",NA,NA,"marsh",29.70831,-91.85428,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.6,"CRMS0527_2",12.78,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,0.6,NA,2,"0-15cm",5.35500830398116,"Estimated (our equation)",5.35500830398116,NA,"29.70831_-91.85428"
"CCRCN","CRMS Database CRMS0527_3",NA,NA,"marsh",29.70831,-91.85428,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.57,"CRMS0527_3",12.63,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.63,0.57,NA,2,"0-15cm",5.29086257662767,"Estimated (our equation)",5.29086257662767,NA,"29.70831_-91.85428"
"CCRCN","CRMS Database CRMS0543_1",NA,NA,"marsh",29.75186,-91.63553,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.19,"CRMS0543_1",23.8,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,0.19,NA,2,"0-15cm",10.151626168135,"Estimated (our equation)",10.151626168135,NA,"29.75186_-91.63553"
"CCRCN","CRMS Database CRMS0543_2",NA,NA,"marsh",29.75186,-91.63553,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.17,"CRMS0543_2",29.29,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.29,0.17,NA,2,"0-15cm",12.6031164611764,"Estimated (our equation)",12.6031164611764,NA,"29.75186_-91.63553"
"CCRCN","CRMS Database CRMS0543_3",NA,NA,"marsh",29.75186,-91.63553,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.19,"CRMS0543_3",26.36,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.36,0.19,NA,2,"0-15cm",11.2896405381439,"Estimated (our equation)",11.2896405381439,NA,"29.75186_-91.63553"
"CCRCN","CRMS Database CRMS0544_1",NA,NA,"marsh",29.68654,-91.57303,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.05,"CRMS0544_1",50.88,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.88,0.05,NA,2,"0-15cm",22.6430481096906,"Estimated (our equation)",22.6430481096906,NA,"29.68654_-91.57303"
"CCRCN","CRMS Database CRMS0544_2",NA,NA,"marsh",29.68654,-91.57303,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.07,"CRMS0544_2",40.86,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.86,0.07,NA,2,"0-15cm",17.9043231043056,"Estimated (our equation)",17.9043231043056,NA,"29.68654_-91.57303"
"CCRCN","CRMS Database CRMS0544_3",NA,NA,"marsh",29.68654,-91.57303,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.09,"CRMS0544_3",33.55,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.55,0.09,NA,2,"0-15cm",14.533724818687,"Estimated (our equation)",14.533724818687,NA,"29.68654_-91.57303"
"CCRCN","CRMS Database CRMS0545_1",NA,NA,"marsh",29.71557,-91.60428,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.07,"CRMS0545_1",50.23,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.23,0.07,NA,2,"0-15cm",22.3314873479237,"Estimated (our equation)",22.3314873479237,NA,"29.71557_-91.60428"
"CCRCN","CRMS Database CRMS0545_2",NA,NA,"marsh",29.71557,-91.60428,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.14,"CRMS0545_2",37.27,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.27,0.14,NA,2,"0-15cm",16.2398767582867,"Estimated (our equation)",16.2398767582867,NA,"29.71557_-91.60428"
"CCRCN","CRMS Database CRMS0545_3",NA,NA,"marsh",29.71557,-91.60428,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.09,"CRMS0545_3",37.34,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.34,0.09,NA,2,"0-15cm",16.2721629081069,"Estimated (our equation)",16.2721629081069,NA,"29.71557_-91.60428"
"CCRCN","CRMS Database CRMS0550_1",NA,NA,"marsh",29.76637,-91.69803,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.6,"CRMS0550_1",14,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.6,NA,2,"0-15cm",5.87786807656945,"Estimated (our equation)",5.87786807656945,NA,"29.76637_-91.69803"
"CCRCN","CRMS Database CRMS0550_2",NA,NA,"marsh",29.76637,-91.69803,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.47,"CRMS0550_2",15.39,NA,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.39,0.47,NA,2,"0-15cm",6.47606239782816,"Estimated (our equation)",6.47606239782816,NA,"29.76637_-91.69803"
