FID,Point_ID,BUFF_DIST,KEEP
287,P288,10000.000000000000000,1
288,P289,10000.000000000000000,1
289,P290,10000.000000000000000,1
290,P291,10000.000000000000000,1
291,P292,10000.000000000000000,1
292,P293,10000.000000000000000,1
293,P294,10000.000000000000000,1
294,P295,10000.000000000000000,1
295,P296,10000.000000000000000,1
296,P297,10000.000000000000000,1
297,P298,10000.000000000000000,1
298,P299,10000.000000000000000,1
299,P300,10000.000000000000000,1
300,P301,10000.000000000000000,1
301,P302,10000.000000000000000,1
302,P303,10000.000000000000000,1
303,P304,10000.000000000000000,1
304,P305,10000.000000000000000,1
305,P306,10000.000000000000000,1
306,P307,10000.000000000000000,1
307,P308,10000.000000000000000,1
308,P309,10000.000000000000000,1
309,P310,10000.000000000000000,1
310,P311,10000.000000000000000,1
311,P312,10000.000000000000000,1
312,P313,10000.000000000000000,1
313,P314,10000.000000000000000,1
314,P315,10000.000000000000000,1
315,P316,10000.000000000000000,1
316,P317,10000.000000000000000,1
317,P318,10000.000000000000000,1
318,P319,10000.000000000000000,1
319,P320,10000.000000000000000,1
320,P321,10000.000000000000000,1
321,P322,10000.000000000000000,1
322,P323,10000.000000000000000,1
323,P324,10000.000000000000000,1
324,P325,10000.000000000000000,1
325,P326,10000.000000000000000,1
326,P327,10000.000000000000000,1
327,P328,10000.000000000000000,1
328,P329,10000.000000000000000,1
329,P330,10000.000000000000000,1
330,P331,10000.000000000000000,1
331,P332,10000.000000000000000,1
332,P333,10000.000000000000000,1
333,P334,10000.000000000000000,1
334,P335,10000.000000000000000,1
335,P336,10000.000000000000000,1
336,P337,10000.000000000000000,1
337,P338,10000.000000000000000,1
338,P339,10000.000000000000000,1
339,P340,10000.000000000000000,1
340,P341,10000.000000000000000,1
341,P342,10000.000000000000000,1
342,P343,10000.000000000000000,1
343,P344,10000.000000000000000,1
344,P345,10000.000000000000000,1
345,P346,10000.000000000000000,1
346,P347,10000.000000000000000,1
347,P348,10000.000000000000000,1
348,P349,10000.000000000000000,1
349,P350,10000.000000000000000,1
350,P351,10000.000000000000000,1
351,P352,10000.000000000000000,1
352,P353,10000.000000000000000,1
